Account,date,classification,daily_pnl,trade_count,total_size_usd,avg_trade_size,wins,long_count,short_count,win_rate,ls_ratio,segment
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,Extreme Greed,0.0,177,900880.13,5089.718248587571,0,0,177,0.0,0.0,Frequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,Extreme Greed,0.0,68,542413.1799999999,7976.664411764705,0,0,68,0.0,0.0,Frequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,Extreme Greed,0.0,40,949380.0,23734.5,0,0,40,0.0,0.0,Frequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,Extreme Greed,-21227.0,12,338240.0,28186.666666666668,0,12,0,0.0,12000000000.0,Frequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,Extreme Greed,1603.1,27,465700.0,17248.14814814815,12,12,15,0.4444444444444444,0.7999999999466667,Frequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,Extreme Greed,-132271.0,82,1316799.98,16058.536341463414,0,82,0,0.0,82000000000.0,Frequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,Extreme Greed,0.0,23,1116918.77,48561.68565217392,0,0,23,0.0,0.0,Frequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,Greed,-175611.00005600002,33,1212299.96,36736.36242424243,0,33,0,0.0,32999999999.999996,Frequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,Extreme Greed,71393.964098,465,5306093.62,11410.954021505377,23,112,353,0.04946236559139785,0.3172804532568916,Frequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,Extreme Greed,40218.599998,51,479429.99,9400.588039215687,28,28,23,0.5490196078431373,1.217391304294896,Frequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,Greed,76710.0,10,1858470.0,185847.0,9,9,1,0.9,8.999999991,Frequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,Fear,101011.685664,839,19794543.66,23593.019856972587,256,350,489,0.30512514898688914,0.71574642126643,Frequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,Greed,375620.270243,531,5616220.88,10576.687156308852,83,111,420,0.15630885122410546,0.264285714285085,Frequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,Neutral,44400.9058,210,5582863.31,26585.06338095238,78,78,132,0.37142857142857144,0.5909090909046144,Frequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,Neutral,30897.0887,141,1432708.93,10161.056241134751,132,132,9,0.9361702127659575,14.666666665037036,Frequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,Fear,55086.0,48,1537560.0,32032.5,16,16,32,0.3333333333333333,0.49999999998437505,Frequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,Neutral,0.0,6,807600.01,134600.00166666668,0,0,6,0.0,0.0,Frequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,Neutral,10152.12224,59,1603504.46,27178.041694915253,31,31,28,0.5254237288135594,1.1071428571033164,Frequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,Fear,115445.395538,219,2898197.14,13233.776894977169,93,93,126,0.4246575342465753,0.7380952380893802,Frequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,Extreme Fear,115287.0,55,1372739.97,24958.908545454546,1,1,54,0.01818181818181818,0.018518518518175583,Frequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,Extreme Fear,9482.221441,45,134360.89,2985.797555555556,36,36,9,0.8,3.9999999995555555,Frequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,Fear,533974.662903,641,5365898.24,8371.136099843994,540,540,101,0.8424336973478939,5.3465346534124105,Frequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,Neutral,40200.0,5,398200.0,79640.0,4,4,1,0.8,3.9999999959999997,Frequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,Fear,307855.80341,31,666240.85,21491.640322580646,31,31,0,1.0,30999999999.999996,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,Extreme Greed,11715.94323,55,135847.3,2469.9509090909087,46,8,47,0.8363636363636363,0.17021276595382528,Frequent
